OrderNum,FirstName,LastName,ShippingAddress,ShippingCity,ShippingState,ShippingZip,Phone,Email,OrderTotal,TrackingNum,OrderDate,ShipDate
1,Shana,Pope,929-8114 Lacus. Rd.,Fayetteville,AR,71339,586-414-5123,tincidunt@Etiambibendum.edu,478.88,3BC733A6-5D89-8E7E-9E05-7D039536BF68,2020-10-03T11:38:46-07:00,2020-10-07T02:33:57-07:00
2,Zane,Juarez,Ap #602-4030 Dolor Av.,Wyoming,WY,25039,604-925-3478,lectus.pede.et@Aliquamvulputate.edu,482.71,8C55A65A-89DA-2062-88CD-72B668CF12CC,2020-10-03T17:22:30-07:00,2020-10-08T02:32:14-07:00
3,Dalton,Decker,302-4979 Id Rd.,Madison,WI,67082,143-741-1591,eget.tincidunt.dui@egetlaoreet.edu,252.81,58B2C186-0BBF-8500-F6E0-6DB806ED7B8E,2020-10-04T08:58:57-07:00,2020-10-06T20:54:56-07:00
4,Clinton,Erickson,Ap #725-7966 Ac Ave,Sterling Heights,MI,21500,717-302-9429,aliquet@lacusvestibulum.net,431.4,A2F321CF-217C-C5DD-4CB0-CE74D3E3A018,2020-10-06T18:16:59-07:00,2020-10-07T05:02:22-07:00
5,Lani,Anthony,"4696 Nec, Road",Shreveport,LA,67337,501-463-9976,cursus.et.eros@idantedictum.edu,369.05,E17DD9B4-0D89-E5DD-5582-5DAE5EF98FFA,2020-10-04T06:52:59-07:00,2020-10-06T02:51:35-07:00
6,Plato,Zimmerman,994 Dui. Avenue,San Jose,CA,94070,733-514-1347,auctor.Mauris@semmollisdui.com,230.44,7337B4C6-5514-E737-2E77-A6B7F83E64AC,2020-10-06T20:42:20-07:00,2020-10-08T07:24:03-07:00
7,Deborah,Jimenez,160-3207 Morbi Rd.,College,AK,99905,704-744-5753,tempus.non.lacinia@scelerisquemollisPhasellus.edu,328.17,A5F5C0F8-738D-23B6-78A2-F81AB8F8F1DB,2020-10-03T17:39:09-07:00,2020-10-07T21:59:27-07:00
8,Jared,Duke,2953 Consequat Rd.,Springfield,MA,32585,883-378-1242,Nam.interdum.enim@ridiculusmusProin.com,163.67,5E315DD7-C20A-5122-E3D4-FA33BF9A867D,2020-10-06T18:40:28-07:00,2020-10-08T13:34:37-07:00
9,Jasmine,Bond,"108-9425 Sed, Street",Great Falls,MT,21427,268-338-8212,Donec.at@eleifend.org,57.68,8E8D9D7C-C79B-6C66-10EE-FC69CBD445D1,2020-10-05T23:27:54-07:00,2020-10-08T00:30:54-07:00
10,Carlos,Malone,Ap #418-3006 Adipiscing Rd.,West Jordan,UT,97333,103-526-6919,venenatis.a@Etiamligula.edu,489.1,12AFCB41-F42C-9328-8491-B57063E261E9,2020-10-04T22:01:17-07:00,2020-10-06T06:02:59-07:00
11,Jamalia,Greer,Ap #773-9346 Molestie Avenue,Lafayette,LA,90632,364-894-3374,blandit.enim.consequat@sagittis.com,97.57,91F21B8A-C4C1-84CA-BD58-B9FA29EFCC39,2020-10-05T11:12:43-07:00,2020-10-07T11:27:23-07:00
12,Tamara,Leblanc,897-9184 Ac Rd.,Akron,OH,96923,834-812-9306,mauris@aliquetlobortisnisi.org,319.06,7D899F38-2CAC-9D87-7FCB-556D45244F2E,2020-10-04T08:07:06-07:00,2020-10-06T02:50:24-07:00
13,Alan,Barnes,"Ap #950-6086 Purus, Ave",Mesa,AZ,85116,877-400-2013,nec.enim@Inat.edu,472.95,16F5FFCE-C491-B195-4251-D541D52BA6E4,2020-10-03T21:09:58-07:00,2020-10-08T13:30:28-07:00
14,Zeus,Strong,547-5219 Lacus Street,West Valley City,UT,43016,115-782-7379,lorem.luctus@eunullaat.edu,318.85,8C818F1C-3643-9A54-97BF-9907F61D9F00,2020-10-06T09:36:14-07:00,2020-10-06T11:50:21-07:00
15,Yoko,Wong,412-9763 Ad Ave,Knoxville,TN,32146,152-311-3046,Donec.tincidunt@egetipsum.com,215.96,6B5966BA-0A7B-281B-323A-F78E002A6D5E,2020-10-06T02:12:04-07:00,2020-10-06T01:15:18-07:00
16,Lillith,Ford,Ap #391-1647 Cursus. Avenue,Hartford,CT,48741,720-845-9003,Ut.sagittis@Aliquam.net,385.45,A5C81107-46B0-4116-A100-AE2D80FACBF1,2020-10-04T18:21:45-07:00,2020-10-08T15:53:09-07:00
